Valene;57;37;5
Shyla;26;30;3
Leonarda;10;84;5
Sylvester;56;92;2
Lionel;79;35;8
Agustin;97;25;8
Jerald;66;11;0
Edda;35;12;4
Paz;13;107;6
Caren;7;95;0
Walter;92;26;7
Kieth;98;78;2
Aundrea;93;17;5
Jarrett;44;117;8
Trudi;97;54;9
Carisa;58;69;9
Marcelo;61;28;5
Mirna;56;34;1
Israel;58;40;0
Elsa;16;30;4
Alyson;24;54;4
Justina;47;80;2
Latonya;55;66;1
Jayson;21;72;3
Williams;26;94;4
Ivey;34;90;9
Berry;83;35;10
Cyndy;96;41;2
Camie;53;59;4
Ramona;22;12;9
Mohamed;79;64;0
Lucio;5;103;10
Daniella;94;82;1
Cinthia;82;84;4
Bernita;11;81;0
Shawnda;23;108;5
Heath;90;91;5
Corene;3;106;4
Eryn;48;26;9
Claribel;63;67;8
Francisca;12;101;6
Eleanora;63;84;7
Arlen;37;79;3
Jody;9;85;3
Shaunda;64;117;2
Roxy;50;117;5
Rodger;7;22;8
Robena;34;104;9
Kena;96;99;3
Danika;6;8;9
Terrance;3;24;10
Ariel;71;106;3
Bula;10;33;6
Leland;2;20;6
Christene;16;49;4
Ka;77;48;1
Hertha;67;20;9
Hosea;91;104;2
Paul;17;60;6
Art;10;53;10
Lanny;12;12;10
Jay;51;101;3
Junior;1;35;0
Lauren;98;34;3
Magan;1;55;3
Tory;93;19;9
Leigha;35;78;8
Felix;55;110;9
Daine;55;74;4
Nickolas;71;106;4
Malka;83;95;10
Monte;92;97;5
Omar;14;53;2
Benito;32;8;8
Chantal;6;62;2
Pablo;14;45;10
Obdulia;28;109;8
Roy;8;26;1
Thanh;13;21;1
Frank;96;118;8
Marlin;4;91;10
Zackary;75;32;0
Alia;7;28;7
Barry;87;40;5
Theo;100;76;8
Clementine;90;19;4
Aubrey;71;30;9
Phillip;52;44;8
Josue;25;18;9
Verdell;43;20;8
Aldo;47;115;8
Natacha;30;98;8
Alejandrina;41;85;0
Ronny;54;111;8
Ardith;17;16;9
Randal;76;118;0
Shaina;52;25;10
Forrest;94;5;3
Rosenda;14;52;7
Noble;97;101;8
